Running with JAX backend on cpu:0

========================================
       MHW MODEL CONFIGURATION
========================================
Domain:      64.0 x 64.0
Resolution:  256 x 256 (dx=0.2500, dy=0.2500)
Time Step:   dt = 0.0025
----------------------------------------
Physics:     Alpha = 1.0
             Kappa = 1.0
----------------------------------------
Dissipation: order = 6
             nu_w  = 0.001
             nu_n  = 0.001
----------------------------------------
Flags:       Modified HW = True
             Arakawa     = True
========================================


--- Starting Production Run (HDF5 Output) ---
Frames: 1000, Steps/Frame: 400, Total Steps: 400000
Solver: rk4
Writing Frame 0/1000...
Writing Frame 326/1000 | Energy: 2.1572e+01
Writing Frame 327/1000 | Energy: 2.1745e+01
Writing Frame 328/1000 | Energy: 2.1919e+01
Writing Frame 329/1000 | Energy: 2.2092e+01
Writing Frame 330/1000 | Energy: 2.2265e+01
Writing Frame 331/1000 | Energy: 2.2437e+01
Writing Frame 332/1000 | Energy: 2.2610e+01
Writing Frame 333/1000 | Energy: 2.2783e+01
Writing Frame 334/1000 | Energy: 2.2956e+01
Writing Frame 335/1000 | Energy: 2.3129e+01
Writing Frame 336/1000 | Energy: 2.3301e+01
Writing Frame 337/1000 | Energy: 2.3472e+01
Writing Frame 338/1000 | Energy: 2.3644e+01
Writing Frame 339/1000 | Energy: 2.3814e+01
Writing Frame 340/1000 | Energy: 2.3985e+01
Writing Frame 341/1000 | Energy: 2.4155e+01
Writing Frame 342/1000 | Energy: 2.4323e+01
Writing Frame 343/1000 | Energy: 2.4491e+01
Writing Frame 344/1000 | Energy: 2.4657e+01
Writing Frame 345/1000 | Energy: 2.4822e+01
Writing Frame 346/1000 | Energy: 2.4985e+01
Writing Frame 347/1000 | Energy: 2.5147e+01
Writing Frame 348/1000 | Energy: 2.5309e+01
Writing Frame 349/1000 | Energy: 2.5471e+01
Writing Frame 350/1000 | Energy: 2.5632e+01
Writing Frame 351/1000 | Energy: 2.5794e+01
Writing Frame 352/1000 | Energy: 2.5955e+01
Writing Frame 353/1000 | Energy: 2.6116e+01
Writing Frame 354/1000 | Energy: 2.6277e+01
Writing Frame 355/1000 | Energy: 2.6440e+01
Writing Frame 356/1000 | Energy: 2.6604e+01
Writing Frame 357/1000 | Energy: 2.6769e+01
Writing Frame 358/1000 | Energy: 2.6935e+01
Writing Frame 359/1000 | Energy: 2.7101e+01
Writing Frame 360/1000 | Energy: 2.7269e+01
Writing Frame 361/1000 | Energy: 2.7438e+01
Writing Frame 362/1000 | Energy: 2.7608e+01
Writing Frame 363/1000 | Energy: 2.7780e+01
Writing Frame 364/1000 | Energy: 2.7955e+01
Writing Frame 365/1000 | Energy: 2.8132e+01
Writing Frame 366/1000 | Energy: 2.8311e+01
Writing Frame 367/1000 | Energy: 2.8493e+01
Writing Frame 368/1000 | Energy: 2.8678e+01
Writing Frame 369/1000 | Energy: 2.8865e+01
Writing Frame 370/1000 | Energy: 2.9054e+01
Writing Frame 371/1000 | Energy: 2.9246e+01
Writing Frame 372/1000 | Energy: 2.9440e+01
Writing Frame 373/1000 | Energy: 2.9636e+01
Writing Frame 374/1000 | Energy: 2.9833e+01
Writing Frame 375/1000 | Energy: 3.0031e+01
Writing Frame 376/1000 | Energy: 3.0231e+01
Writing Frame 377/1000 | Energy: 3.0434e+01
Writing Frame 378/1000 | Energy: 3.0639e+01
Writing Frame 379/1000 | Energy: 3.0847e+01
Writing Frame 380/1000 | Energy: 3.1057e+01
Writing Frame 381/1000 | Energy: 3.1267e+01
Writing Frame 382/1000 | Energy: 3.1477e+01
Writing Frame 383/1000 | Energy: 3.1686e+01
Writing Frame 384/1000 | Energy: 3.1894e+01
Writing Frame 385/1000 | Energy: 3.2102e+01
Writing Frame 386/1000 | Energy: 3.2310e+01
Writing Frame 387/1000 | Energy: 3.2517e+01
Writing Frame 388/1000 | Energy: 3.2726e+01
Writing Frame 389/1000 | Energy: 3.2937e+01
Writing Frame 390/1000 | Energy: 3.3150e+01
Writing Frame 391/1000 | Energy: 3.3364e+01
Writing Frame 392/1000 | Energy: 3.3579e+01
Writing Frame 393/1000 | Energy: 3.3795e+01
Writing Frame 394/1000 | Energy: 3.4012e+01
Writing Frame 395/1000 | Energy: 3.4230e+01
Writing Frame 396/1000 | Energy: 3.4450e+01
Writing Frame 397/1000 | Energy: 3.4672e+01
Writing Frame 398/1000 | Energy: 3.4896e+01
Writing Frame 399/1000 | Energy: 3.5120e+01
Writing Frame 400/1000 | Energy: 3.5346e+01
Writing Frame 401/1000 | Energy: 3.5573e+01
Writing Frame 402/1000 | Energy: 3.5800e+01
Writing Frame 403/1000 | Energy: 3.6029e+01
Writing Frame 404/1000 | Energy: 3.6260e+01
Writing Frame 405/1000 | Energy: 3.6490e+01
Writing Frame 406/1000 | Energy: 3.6721e+01
Writing Frame 407/1000 | Energy: 3.6953e+01
Writing Frame 408/1000 | Energy: 3.7186e+01
Writing Frame 409/1000 | Energy: 3.7420e+01
Writing Frame 410/1000 | Energy: 3.7655e+01
Writing Frame 411/1000 | Energy: 3.7889e+01
Writing Frame 412/1000 | Energy: 3.8124e+01
Writing Frame 413/1000 | Energy: 3.8358e+01
Writing Frame 414/1000 | Energy: 3.8593e+01
Writing Frame 415/1000 | Energy: 3.8830e+01
Writing Frame 416/1000 | Energy: 3.9069e+01
Writing Frame 417/1000 | Energy: 3.9313e+01
Writing Frame 418/1000 | Energy: 3.9560e+01
Writing Frame 419/1000 | Energy: 3.9810e+01
Writing Frame 420/1000 | Energy: 4.0061e+01
Writing Frame 421/1000 | Energy: 4.0312e+01
Writing Frame 422/1000 | Energy: 4.0562e+01
Writing Frame 423/1000 | Energy: 4.0810e+01
Writing Frame 424/1000 | Energy: 4.1057e+01
Writing Frame 425/1000 | Energy: 4.1303e+01
Writing Frame 426/1000 | Energy: 4.1549e+01
Writing Frame 427/1000 | Energy: 4.1797e+01
Writing Frame 428/1000 | Energy: 4.2046e+01
Writing Frame 429/1000 | Energy: 4.2297e+01
Writing Frame 430/1000 | Energy: 4.2548e+01
Writing Frame 431/1000 | Energy: 4.2801e+01
Writing Frame 432/1000 | Energy: 4.3054e+01
Writing Frame 433/1000 | Energy: 4.3308e+01
Writing Frame 434/1000 | Energy: 4.3560e+01
Writing Frame 435/1000 | Energy: 4.3809e+01
Writing Frame 436/1000 | Energy: 4.4055e+01
Writing Frame 437/1000 | Energy: 4.4299e+01
Writing Frame 438/1000 | Energy: 4.4541e+01
Writing Frame 439/1000 | Energy: 4.4783e+01
Writing Frame 440/1000 | Energy: 4.5023e+01
Writing Frame 441/1000 | Energy: 4.5263e+01
Writing Frame 442/1000 | Energy: 4.5502e+01
Writing Frame 443/1000 | Energy: 4.5740e+01
Writing Frame 444/1000 | Energy: 4.5977e+01
Writing Frame 445/1000 | Energy: 4.6213e+01
Writing Frame 446/1000 | Energy: 4.6448e+01
Writing Frame 447/1000 | Energy: 4.6682e+01
Writing Frame 448/1000 | Energy: 4.6916e+01
Writing Frame 449/1000 | Energy: 4.7151e+01
Writing Frame 450/1000 | Energy: 4.7388e+01
Writing Frame 451/1000 | Energy: 4.7625e+01
Writing Frame 452/1000 | Energy: 4.7859e+01
Writing Frame 453/1000 | Energy: 4.8091e+01
Writing Frame 454/1000 | Energy: 4.8320e+01
Writing Frame 455/1000 | Energy: 4.8549e+01
Writing Frame 456/1000 | Energy: 4.8777e+01
Writing Frame 457/1000 | Energy: 4.9007e+01
Writing Frame 458/1000 | Energy: 4.9236e+01
Writing Frame 459/1000 | Energy: 4.9463e+01
Writing Frame 460/1000 | Energy: 4.9688e+01
Writing Frame 461/1000 | Energy: 4.9912e+01
Writing Frame 462/1000 | Energy: 5.0137e+01
Writing Frame 463/1000 | Energy: 5.0363e+01
Writing Frame 464/1000 | Energy: 5.0589e+01
Writing Frame 465/1000 | Energy: 5.0814e+01
Writing Frame 466/1000 | Energy: 5.1037e+01
Writing Frame 467/1000 | Energy: 5.1256e+01
Writing Frame 468/1000 | Energy: 5.1474e+01
Writing Frame 469/1000 | Energy: 5.1692e+01
Writing Frame 470/1000 | Energy: 5.1909e+01
Writing Frame 471/1000 | Energy: 5.2128e+01
Writing Frame 472/1000 | Energy: 5.2349e+01
Writing Frame 473/1000 | Energy: 5.2571e+01
Writing Frame 474/1000 | Energy: 5.2793e+01
Writing Frame 475/1000 | Energy: 5.3015e+01
Writing Frame 476/1000 | Energy: 5.3239e+01
Writing Frame 477/1000 | Energy: 5.3465e+01
Writing Frame 478/1000 | Energy: 5.3694e+01
Writing Frame 479/1000 | Energy: 5.3925e+01
Writing Frame 480/1000 | Energy: 5.4158e+01
Writing Frame 481/1000 | Energy: 5.4392e+01
Writing Frame 482/1000 | Energy: 5.4627e+01
Writing Frame 483/1000 | Energy: 5.4865e+01
Writing Frame 484/1000 | Energy: 5.5106e+01
Writing Frame 485/1000 | Energy: 5.5350e+01
Writing Frame 486/1000 | Energy: 5.5599e+01
Writing Frame 487/1000 | Energy: 5.5850e+01
Writing Frame 488/1000 | Energy: 5.6104e+01
Writing Frame 489/1000 | Energy: 5.6360e+01
Writing Frame 490/1000 | Energy: 5.6620e+01
Writing Frame 491/1000 | Energy: 5.6883e+01
Writing Frame 492/1000 | Energy: 5.7150e+01
Writing Frame 493/1000 | Energy: 5.7422e+01
Writing Frame 494/1000 | Energy: 5.7698e+01
